n,d
25.0,322.54040281042506
36.0,464.24821611615573
49.0,631.5318095627306
64.0,824.5533498394587
81.0,1043.2004506756198
100.0,1287.4738688787527
121.0,1557.5531482736233
144.0,1853.090008845374
169.0,2174.36455852917
196.0,2521.250202473052
225.0,2893.9671922143557
256.0,3292.4846511890014
289.0,3716.497932929516
324.0,4166.021537067215
361.0,4641.148098021627
400.0,5142.2924134700725
441.0,5668.733981881854
484.0,6220.926315845613
529.0,6798.636669913837
576.0,7402.216792923836
676.0,8686.363959851255
729.0,9366.67446134614
784.0,10072.461589109098
900.0,11561.189319119587
961.0,12364.798125384345
1089.0,14009.782339075222
1156.0,14870.869346416655
1296.0,16669.665180105898
1444.0,18572.794340654193
1521.0,19561.925774479307
1681.0,21617.248427244383
1849.0,23775.283660302484
2116.0,27206.53072308716
2304.0,29623.182421326044
2500.0,32143.93396257744
2809.0,36118.54358638456
3025.0,38896.51922952807
3364.0,43256.467097898545
3721.0,47848.3391318059
4096.0,52672.31152879278
4489.0,57728.654552541
4900.0,63017.790190753854
5329.0,68539.31594100523
5929.0,76261.46261188212
6561.0,84246.41266203418
7225.0,92784.0710994888
7921.0,101734.178086913
8649.0,111096.3206234267
9604.0,123379.62597367415
10404.0,133667.93777519063
11449.0,147106.63400033693
12769.0,164087.90592060244
13924.0,178947.59088527568
15376.0,197636.94275464112
16900.0,217255.47561076004
18496.0,237796.89063925846
20449.0,262934.13452828757
22500.0,289337.5436565909
24649.0,317015.14334113663
26896.0,345956.09619868884
29584.0,380577.67107099167
32761.0,421507.9382644196
36100.0,464536.70667155355
39601.0,509660.4171363196
43264.0,556876.2991739203
47961.0,617416.1757887717
52441.0,675182.8684723717
57600.0,741702.0442493513
63504.0,817867.8388477955
69696.0,897745.1293389698
76729.0,988499.7101841283
84100.0,1084919.7098017605
92416.0,1192529.8796894087
101761.0,1313515.8838604616
112225.0,1445651.7936819533
123201.0,1587743.7423712015
135424.0,1745997.2476673268
148996.0,1921810.5654344328
163216.0,2106001.9780057766
179776.0,2320493.346288922
197136.0,2545373.12270475
217156.0,2804733.960148484
239121.0,3089357.2488562665
262144.0,3387803.675895722
288369.0,3729565.3837061087
